edad,ingreso,gasto_mensual,antiguedad,visitas_mes,score_credito,interacciones,tasa_uso,riesgo
56,46309,33940,18.4,13,676,19,61.0,alto
69,107455,42233,12.5,3,565,23,71.6,alto
46,83734,22019,28.0,0,658,49,27.3,medio
32,90467,23077,26.0,18,639,48,41.4,medio
60,72662,31258,1.4,7,688,31,12.2,bajo
25,118506,26136,0.8,14,302,40,18.1,alto
78,129751,13311,11.3,14,728,35,68.1,bajo
38,138906,22214,24.3,8,441,33,18.1,medio
56,32688,19098,29.6,8,675,35,52.5,bajo
75,45342,33251,4.5,9,623,1,70.9,bajo
36,57157,42945,17.8,19,445,14,10.7,bajo
40,87863,30945,11.4,8,592,33,56.7,bajo
28,126308,30316,29.1,2,731,35,25.7,medio
28,72083,37217,25.3,19,698,5,96.3,medio
41,126081,13308,25.1,10,643,38,48.4,bajo
70,85733,10949,14.1,5,439,41,80.6,alto
53,109045,6150,12.4,1,486,11,55.0,medio
57,54698,28944,8.2,6,360,2,4.3,medio
41,130078,39699,1.7,17,679,44,63.3,bajo
20,100623,14204,25.9,1,739,17,95.1,medio
39,42671,6081,24.4,16,618,39,60.2,bajo
70,45184,34305,30.0,10,601,20,81.9,alto
19,113384,21896,29.9,11,643,14,88.4,alto
41,62107,12805,16.7,18,310,32,22.8,medio
61,106202,10237,23.1,6,361,34,21.2,alto
47,129893,25056,28.3,19,525,25,61.1,medio
55,71663,8343,25.5,5,452,7,41.1,alto
19,35708,18500,7.4,0,609,35,84.0,alto
77,111906,34375,13.5,16,542,47,90.0,medio
38,69811,14662,3.9,10,792,29,35.3,bajo
50,22811,21964,28.6,17,665,22,23.7,bajo
29,76250,13130,18.2,16,629,41,78.1,medio
75,132547,24531,6.9,6,406,43,27.5,alto
39,92082,6679,20.2,16,525,13,82.3,medio
78,144249,8506,18.5,19,517,13,42.4,medio
61,54754,18284,10.7,8,805,1,66.8,bajo
42,115742,12253,3.4,16,558,36,9.6,bajo
66,126642,24128,20.1,19,816,4,62.4,bajo
44,31411,32932,15.6,7,353,37,45.2,alto
76,22911,14435,23.2,16,346,44,58.7,alto
59,87270,49078,15.6,6,820,40,16.8,alto
45,103763,18296,25.6,0,398,46,73.7,alto
77,28680,35445,16.6,12,319,13,86.3,medio
33,104896,18245,16.8,18,789,38,21.7,bajo
32,103879,34124,26.3,18,718,24,9.6,medio
79,91295,34899,12.1,16,361,19,2.4,alto
79,108614,48919,4.0,12,444,1,64.2,alto
64,120689,48225,0.9,15,515,38,60.7,alto
79,31111,40247,22.7,7,302,5,54.7,alto
68,57504,34222,18.6,18,459,16,23.2,medio
61,21802,31211,21.1,17,419,24,39.1,medio
72,28155,42220,6.4,0,388,27,59.4,alto
69,93656,31646,4.1,13,628,1,49.7,medio
74,59384,43649,0.4,18,656,34,98.8,medio
20,132561,28049,10.5,14,566,36,13.6,medio
54,67254,19069,17.7,17,622,4,69.5,bajo
68,41918,37580,11.8,1,840,0,40.4,bajo
24,105981,36843,13.1,16,494,39,42.8,bajo
38,80713,7849,27.1,17,631,11,71.8,medio
26,50306,45158,10.4,5,469,35,69.2,alto
56,36646,28289,15.4,18,820,44,99.1,bajo
35,66843,49690,23.5,3,762,22,12.8,bajo
21,140975,40257,11.9,0,339,46,10.4,alto
42,116601,14823,18.7,7,836,30,72.4,medio
77,110735,46975,25.9,6,560,10,57.8,medio
31,127512,14540,28.5,2,694,9,27.4,bajo
67,36371,21364,4.4,9,525,2,7.9,bajo
75,97371,9611,27.8,9,423,13,8.6,bajo
26,131472,32663,14.8,18,337,15,89.4,alto
43,22049,43646,7.7,13,627,9,19.2,bajo
70,51616,35977,13.8,1,550,28,32.3,alto
19,123727,34168,29.4,0,475,9,22.7,alto
37,132893,30471,14.8,17,753,11,35.5,bajo
45,146603,27687,9.9,6,336,29,6.9,alto
64,40932,5851,19.0,7,615,40,51.9,alto
77,137796,23071,7.2,0,413,0,6.8,medio
24,49855,11833,2.3,2,339,4,80.0,alto
61,81434,16938,3.9,7,600,19,23.4,bajo
78,92694,40195,3.8,14,523,7,54.0,alto
25,63016,31144,4.6,4,617,42,88.0,medio
64,27400,9000,4.2,2,648,11,65.1,alto
52,137858,10052,19.2,18,414,0,53.3,medio
31,62642,40506,5.5,0,622,19,32.4,medio
34,35151,33074,10.4,14,339,27,33.3,medio
53,71407,43155,26.9,7,339,42,66.9,alto
