edad,ingreso_anual,nivel_educativo,experiencia
49,60644,6,26
66,199736,8,27
24,65203,12,16
63,86677,0,45
28,176497,7,49
45,143246,3,1
58,104817,2,35
40,89806,2,49
62,62814,12,6
40,90219,7,12
67,190956,6,14
45,115345,0,24
60,120088,15,22
64,89322,5,21
43,41650,6,25
42,114242,11,32
46,160262,8,10
36,58196,10,9
50,190521,9,24
53,190733,20,36
31,49709,0,47
31,100428,17,42
52,29943,3,37
47,194312,4,40
45,196832,8,44
34,41042,16,23
20,63894,2,39
33,157941,15,45
63,76759,4,32
47,125973,15,16
69,64306,2,23
46,128369,19,36
62,171990,14,1
32,48379,2,31
63,140667,19,23
42,154034,13,8
68,164923,15,3
55,137626,16,16
59,196819,19,16
64,145180,17,49
69,72349,17,47
55,165817,13,29
40,25730,17,39
42,164993,14,10
59,39023,14,20
24,196421,5,20
39,146796,14,17
34,101533,17,28
35,103286,3,23
66,61979,7,9
58,42837,14,44
27,166069,2,16
27,124975,14,17
24,196111,12,41
65,40923,8,47
67,28876,1,19
55,80973,7,36
44,153959,19,44
69,62422,16,17
50,71413,12,16
18,122484,0,8
61,153913,1,13
51,48756,14,48
21,91576,11,28
34,138248,13,30
21,30304,1,3
60,50341,17,17
43,155830,6,19
21,168082,5,46
18,147039,13,42
24,182730,7,43
47,152447,1,8
67,119485,16,12
26,42092,4,14
52,151562,13,26
25,23729,19,14
41,157046,20,27
36,138222,20,36
53,105216,2,18
67,103860,4,25
69,116870,15,25
60,41398,17,24
44,54650,16,25
49,172364,10,25
31,123889,16,45
35,23159,15,27
45,118162,1,48
46,122834,3,17
33,168137,20,31
52,41638,6,2
64,21073,1,1
48,197583,5,32
21,49320,16,41
54,54924,6,18
34,191806,4,16
56,88116,4,43
65,191097,19,32
63,22159,15,11
43,68940,18,48
65,99436,8,2
56,34678,4,42
58,198276,7,48
21,163093,8,25
47,157844,4,34
47,87163,9,7
39,174536,1,35
28,71137,8,6
19,181304,10,45
61,81497,3,45
29,120485,1,35
47,125468,5,15
53,20901,13,23
35,107980,0,0
43,127594,17,48
24,22881,6,24
18,49863,0,9
43,156694,0,15
40,152450,0,15
43,65201,3,7
62,79251,3,28
23,92572,17,38
23,59255,10,27
61,83212,0,5
25,70210,9,15
41,145629,8,19
39,42499,3,15
36,122552,5,6
54,81360,15,40
35,155675,1,13
48,147466,17,42
54,105473,9,25
47,163704,16,25
59,181679,12,13
50,111873,17,6
27,85756,12,32
54,198066,16,25
29,76344,4,44
47,158421,10,19
44,91154,6,2
56,47464,9,3
26,193696,16,25
38,141897,14,10
29,57344,17,1
46,103791,18,13
50,175371,1,43
60,199047,3,29
32,152534,2,48
19,140209,6,11
69,101441,17,25
56,110456,9,43
61,101788,6,32
35,191653,7,12
20,34175,5,13
24,157263,0,23
60,103434,3,33
35,104518,13,43
61,86537,16,25
55,135721,19,20
54,67645,17,27
50,43283,10,47
61,106971,20,35
48,112759,13,39
28,122780,8,1
21,181096,14,41
35,50734,11,8
21,20515,9,22
66,130782,18,14
51,86727,18,12
46,129164,5,22
41,66216,19,16
39,91833,5,47
19,78755,7,1
61,47856,0,19
23,93870,16,19
59,175234,16,45
42,157080,14,2
38,27987,6,11
33,116502,18,39
48,154404,2,1
31,86323,10,35
56,190062,19,13
45,29873,18,15
49,187516,8,18
45,186412,9,33
68,125219,1,43
66,25033,0,45
26,93324,15,5
62,35689,17,12
39,129756,16,35
49,20066,5,21
22,134159,13,17
40,196318,14,11
22,27533,13,29
59,135828,2,39
49,79658,18,6
27,58498,11,31
56,129028,1,47
32,31772,2,18
24,109385,17,5
46,32940,0,19
64,138027,19,26
20,36932,20,42
36,44648,5,36
27,52966,4,47
45,178849,0,6
46,183639,18,4
32,168246,0,10
52,62598,20,14
23,164870,20,2
29,168630,15,4
64,81084,11,22
55,195309,7,36
30,151250,15,8
46,37118,0,14
36,42616,3,2
20,151870,9,28
25,27601,10,5
25,45363,16,16
37,22795,6,25
64,117462,11,20
21,196336,20,7
68,122892,6,20
38,92833,11,10
20,23084,14,37
62,115865,1,7
25,20731,13,41
40,152201,12,23
33,179094,3,34
30,21605,13,13
20,97506,13,13
65,64130,15,9
26,180337,6,11
31,183402,18,37
30,88469,1,43
24,166259,9,45
32,176863,17,33
24,110436,16,40
55,132341,4,9
51,190939,11,16
58,151965,5,16
39,119694,8,2
41,39773,19,30
66,24239,0,0
54,40863,14,11
61,71415,20,38
18,88968,5,3
27,80430,18,41
60,21515,17,12
33,117206,5,33
63,165677,12,41
25,76240,0,20
66,25586,12,21
42,140419,6,3
67,142374,14,17
29,51186,11,4
42,46928,0,18
34,142990,14,1
43,107029,3,11
63,40711,12,16
65,74962,4,9
31,40039,1,33
58,56561,0,5
53,21577,15,7
40,127792,5,10
60,179422,15,11
23,184870,13,8
64,30785,2,1
22,92227,14,7
60,138680,2,10
42,81957,1,35
35,85431,0,9
30,168369,8,20
60,91894,8,19
31,170653,6,47
45,75192,2,7
35,21462,17,35
45,148848,10,28
68,166583,6,41
44,96106,8,11
49,68665,0,13
64,195486,13,47
26,101010,19,49
57,92573,5,20
49,127803,6,21
37,139682,9,20
45,33386,6,43
50,144069,1,49
21,74460,3,29
63,157293,20,38
51,174546,16,19
65,135375,0,23
20,132660,9,22
43,172117,18,6
25,111319,14,8
23,136582,9,0
33,155994,18,25
41,173778,11,37
65,62771,15,37
56,72335,8,43
47,72949,14,21
