edad,ingreso_anual,horas_estudio_semana,cursos_completados,proyectos_practicos,puntuacion_prueba,puntaje_final
29,41115,59.9,1,15,28.6,72
27,96887,32.5,26,18,96.2,100
40,83732,17.0,7,7,31.3,43
47,79790,59.7,28,5,9.8,94
43,79557,58.0,10,5,52.7,69
23,71260,26.4,4,8,5.7,41
34,28690,15.6,17,3,11.1,50
36,1407,50.3,22,11,21.9,93
35,73568,42.9,29,11,46.4,100
23,58560,41.2,17,16,43.3,100
41,47340,53.6,13,14,80.0,100
36,17794,41.4,21,8,73.9,97
27,19881,17.0,9,6,42.6,47
41,86292,41.6,2,9,33.4,70
25,94952,18.3,8,15,31.6,62
38,49703,45.6,2,11,77.4,95
41,44354,37.2,10,6,5.2,51
23,91288,4.6,11,17,1.3,63
38,78462,30.8,11,14,79.6,90
42,99301,20.6,2,5,47.7,39
47,14390,19.7,20,11,13.1,69
24,87475,36.1,6,10,23.6,65
41,27307,19.3,13,19,93.3,99
18,96364,46.6,23,2,86.0,95
44,94049,4.2,27,1,71.0,55
35,24502,39.6,10,5,48.2,67
41,95599,48.6,6,4,52.0,67
45,22486,40.4,24,17,97.5,100
42,38258,29.8,20,15,96.6,100
37,57716,57.0,9,7,21.5,71
49,97228,18.0,10,19,81.1,100
29,81494,1.2,14,10,19.7,48
33,82768,25.9,18,9,21.4,85
27,10748,2.0,15,11,67.6,59
44,62785,57.2,21,5,40.5,88
27,76050,12.6,20,19,93.2,100
31,22738,47.3,27,4,8.9,90
42,74231,46.5,19,8,51.2,90
37,73606,13.1,11,15,91.9,88
27,93301,37.3,17,13,90.4,100
49,41662,2.9,22,7,15.7,56
27,96297,29.0,12,19,36.7,90
43,82234,0.9,4,18,61.9,63
42,15123,55.3,3,13,15.9,75
28,25616,58.6,27,6,96.8,100
40,11182,13.3,13,4,91.5,68
19,90369,12.5,7,17,16.7,75
42,98878,45.2,8,1,12.1,34
37,62013,15.2,24,10,8.5,72
25,31331,53.7,18,7,90.9,100
47,46098,34.4,2,0,19.4,28
40,26128,21.0,4,11,41.6,46
46,31556,50.0,20,1,44.9,69
48,87505,29.6,25,17,59.9,100
49,21876,54.7,17,6,7.2,76
24,8949,55.7,0,16,22.7,83
25,51962,9.9,7,13,93.1,72
18,90054,0.1,18,6,90.8,70
38,71206,59.0,16,2,78.1,83
19,24099,54.4,16,5,1.9,71
35,12716,3.3,10,19,32.7,74
32,52611,50.0,1,1,62.8,48
18,38885,27.5,5,16,27.5,80
22,53144,15.5,21,11,91.0,87
