metros_cuadrados,habitaciones,antiguedad_anos,distancia_centro,calidad_acabados,seguridad_zona,precio
246,3,16,19.7,1,6,2916878
249,5,42,29.1,10,3,3000000
154,2,79,18.1,2,10,2586751
264,2,65,2.3,2,3,2972688
173,4,33,2.3,3,1,2969598
290,3,7,28.5,10,5,3000000
258,4,12,8.9,7,4,3000000
130,4,7,2.8,2,9,3000000
85,2,64,18.0,1,9,2076804
77,4,42,18.7,6,5,2430585
181,3,38,19.5,9,10,3000000
139,3,58,8.0,3,4,2505106
229,3,43,0.5,6,7,3000000
74,5,8,29.0,3,6,2377356
186,1,36,7.5,1,4,2387790
69,3,73,20.3,5,10,2374565
123,4,35,21.2,10,2,2584829
193,4,27,18.3,4,1,2825220
141,4,41,9.4,7,4,2812246
254,2,42,8.1,6,4,3000000
189,3,41,17.9,10,1,2611537
122,3,65,26.0,7,6,2141305
149,4,54,28.4,5,4,2247233
240,3,71,3.2,4,1,2935152
212,2,47,4.6,7,1,2825561
245,5,21,28.3,7,1,2848006
102,1,26,22.1,6,8,2103009
112,5,66,26.5,8,10,2963427
290,4,12,6.1,4,8,3000000
163,4,44,17.6,10,2,2714694
160,3,9,21.0,5,7,2608361
159,1,8,20.4,4,8,2416579
203,4,53,12.2,1,8,3000000
200,4,26,0.5,8,10,3000000
128,4,33,17.5,1,7,2633184
181,2,0,7.6,5,5,2967225
242,4,31,13.5,6,1,3000000
266,4,70,28.7,6,9,3000000
261,4,66,12.0,5,7,3000000
80,4,19,25.2,3,2,2034461
235,4,34,5.7,5,6,3000000
107,3,77,20.2,8,2,1978207
41,2,16,29.3,2,1,1125974
164,3,17,3.1,6,7,3000000
149,2,44,0.2,9,2,2670741
125,3,52,13.0,8,2,2393326
159,3,67,2.8,8,5,2904439
166,2,64,22.5,8,5,2372685
294,3,0,27.4,7,7,3000000
222,2,57,13.0,8,1,2634680
55,4,25,7.8,6,8,2972471
101,5,19,13.0,2,3,2758107
197,2,9,21.7,2,4,2462710
74,5,58,0.3,8,9,3000000
103,3,74,17.7,1,4,1777937
89,3,40,18.4,6,10,2812354
294,2,4,19.1,6,5,3000000
188,3,64,7.3,4,7,2995693
211,4,16,21.4,10,4,3000000
240,4,21,2.7,3,1,3000000
74,2,40,6.0,3,9,2453471
255,2,67,26.3,1,4,2202949
104,3,68,22.2,3,9,2433972
47,3,10,0.4,4,6,2605795
115,2,55,7.5,5,1,2254983
213,3,50,6.4,3,3,2887864
86,4,20,8.1,6,2,2412498
54,5,75,7.4,5,9,2805523
186,3,25,1.9,3,1,2782378
65,5,18,13.8,6,9,3000000
132,3,59,22.0,6,9,2615068
271,3,70,18.2,8,8,3000000
60,2,46,20.2,2,8,1923095
77,3,70,2.4,1,1,1886456
196,5,25,28.5,4,8,3000000
218,3,39,25.2,7,10,3000000
171,3,4,24.2,10,3,2844703
67,3,20,24.7,3,7,2215349
299,2,77,28.0,3,1,2308887
115,4,3,16.3,5,1,2443530
106,3,22,6.0,5,10,3000000
233,3,14,18.5,10,5,3000000
201,3,7,22.3,3,5,2815030
296,3,40,22.1,9,8,3000000
111,2,18,15.6,4,7,2443769
126,4,45,2.1,3,8,3000000
253,2,27,11.1,2,6,2985509
192,4,67,27.6,10,6,2779499
249,4,14,17.5,9,2,3000000
100,4,36,16.1,4,6,2612919
257,3,0,8.1,3,5,3000000
175,3,66,11.1,7,3,2770584
132,2,23,26.9,8,6,2209282
148,4,26,20.0,2,8,2768974
280,3,39,23.6,7,9,3000000
181,3,62,13.6,5,1,2557333
276,3,60,18.9,5,3,2890750
216,2,35,7.5,3,3,2773067
180,3,23,21.2,5,8,2945862
228,2,23,12.8,2,1,2448591
88,4,3,13.3,4,5,2883135
229,3,66,19.5,6,3,2711712
175,1,33,28.1,1,2,1581306
82,3,56,1.9,10,8,3000000
129,1,48,24.7,4,3,1486537
284,3,52,8.8,6,7,3000000
231,4,22,13.3,9,1,3000000
145,2,68,0.7,2,6,2538533
272,4,52,9.0,7,3,3000000
76,1,61,15.1,6,8,2040989
80,2,40,1.7,2,6,2443620
56,4,56,14.7,8,2,2167621
98,3,59,27.8,7,6,1989840
222,2,53,3.2,5,7,3000000
80,3,69,22.9,5,5,2038300
78,3,56,12.3,7,3,2106120
231,4,9,19.7,9,4,3000000
186,3,39,7.8,9,4,3000000
166,4,6,4.8,9,6,3000000
85,4,37,4.8,6,10,3000000
84,3,60,2.1,10,1,2586729
40,5,2,5.6,6,4,3000000
207,3,50,19.9,3,10,2972096
147,5,46,26.5,1,4,2318083
58,2,67,24.4,7,10,2125040
111,4,75,20.6,4,1,1917232
148,3,37,3.3,1,9,3000000
279,3,35,8.7,8,4,3000000
129,3,40,9.3,6,7,2821716
142,4,68,7.5,6,3,2611357
289,1,12,15.5,2,10,3000000
47,2,57,16.1,1,3,1449089
192,4,49,10.7,2,8,3000000
213,4,29,10.6,4,8,3000000
197,5,61,24.9,2,1,2522211
254,4,24,23.7,1,10,3000000
216,5,26,9.2,7,2,3000000
214,4,50,27.4,8,8,3000000
185,3,77,28.6,6,1,1888786
200,2,56,9.8,4,8,2929258
166,4,46,10.6,6,8,3000000
121,3,38,15.2,3,2,2089832
186,1,15,28.2,8,4,2256030
278,3,21,26.3,10,6,3000000
123,5,53,3.1,2,9,3000000
152,3,20,11.8,5,8,2983680
264,3,71,16.6,1,8,3000000
282,3,15,15.1,6,7,3000000
182,2,58,5.8,2,9,2990112
80,3,30,25.8,4,2,1441757
297,3,41,20.3,6,3,3000000
144,2,73,25.1,10,10,2530607
241,4,31,25.8,8,8,3000000
249,3,58,22.5,8,6,3000000
90,4,33,13.2,6,10,2921240
157,4,8,18.3,4,9,3000000
240,2,10,4.8,8,10,3000000
78,4,9,20.2,8,4,2669309
67,3,16,5.4,10,8,3000000
298,4,67,20.8,1,10,3000000
123,2,47,6.9,4,3,2307708
194,4,51,3.5,4,3,3000000
156,3,24,5.0,7,8,3000000
41,3,20,0.1,7,5,2713964
132,2,64,21.6,8,3,2054880
205,4,62,22.0,5,10,3000000
297,4,50,15.4,7,1,3000000
120,3,35,4.8,8,3,2835761
274,3,65,2.5,9,9,3000000
252,3,14,0.6,3,5,3000000
101,4,38,5.0,3,10,3000000
88,2,69,26.7,4,2,1242424
166,4,0,7.2,5,7,3000000
262,3,22,10.6,10,2,3000000
146,3,38,3.2,1,4,2743548
185,2,56,6.7,7,7,3000000
138,2,33,15.6,9,4,2513892
112,3,40,18.2,8,7,2644458
161,3,72,7.4,5,7,3000000
69,4,12,1.7,4,1,2607496
227,1,69,11.7,7,6,2884119
234,3,5,7.0,5,9,3000000
195,3,51,6.6,7,2,2807184
211,1,2,28.8,1,3,2047704
80,2,62,18.5,1,10,1968848
102,3,48,16.7,10,5,2629719
62,3,75,12.5,3,9,2367802
114,3,46,12.9,2,4,2204501
87,3,54,16.2,2,1,1794902
199,3,63,20.9,7,4,2499753
157,1,64,21.1,10,6,2213078
139,3,66,5.2,2,5,2586756
206,5,14,15.0,4,1,3000000
195,3,31,12.4,2,4,2738873
46,4,67,26.1,6,6,2034837
235,3,17,18.9,8,10,3000000
95,4,42,16.0,10,10,3000000
232,4,34,3.5,4,4,3000000
86,3,77,18.2,5,9,2489382
187,5,57,3.5,4,5,3000000
196,2,32,10.1,3,8,3000000
241,1,13,4.3,5,9,3000000
165,4,33,20.8,9,10,3000000
103,4,60,6.2,8,5,3000000
215,2,3,11.8,8,6,3000000
155,3,58,26.9,8,1,2187058
243,1,28,6.1,8,7,3000000
70,3,5,15.2,7,4,2227299
152,4,48,12.6,8,2,2840287
106,3,39,0.5,8,5,3000000
114,3,64,23.8,8,3,2089828
84,3,68,2.1,10,6,2884634
299,1,26,14.2,7,8,3000000
193,3,79,16.8,1,7,2662807
194,3,5,18.9,4,3,2756793
273,5,12,20.7,4,8,3000000
90,4,63,7.6,5,2,2263179
164,1,61,0.3,10,10,3000000
284,4,18,21.7,6,9,3000000
69,4,75,16.1,4,4,2122287
161,4,79,25.1,2,1,1915178
164,3,42,24.6,6,8,2765111
76,3,73,25.3,8,7,2099719
209,3,19,14.6,8,5,3000000
163,2,67,10.0,7,10,3000000
74,2,43,23.7,6,5,1821180
126,2,22,13.5,2,7,2465495
173,3,1,5.5,7,5,3000000
235,4,21,25.6,5,8,3000000
240,3,56,26.5,6,6,2774229
116,2,71,14.0,10,5,2270505
98,5,6,2.3,8,9,3000000
165,5,77,11.6,8,2,3000000
148,4,55,24.1,3,1,2039084
263,5,66,27.1,7,8,3000000
107,3,15,6.1,1,3,2484677
108,5,50,2.0,1,7,3000000
204,2,79,26.3,7,10,2777818
201,3,71,11.7,10,8,3000000
81,2,11,16.3,9,6,2611907
148,2,52,29.0,7,10,2404715
90,2,74,2.0,10,9,2805508
289,3,4,19.4,5,7,3000000
60,4,26,2.2,8,10,3000000
178,3,11,11.3,2,5,2890526
131,2,16,24.1,9,8,2674353
164,4,5,13.0,6,2,2955837
150,3,4,29.9,9,7,2840267
178,3,56,16.8,2,4,2400737
138,4,27,9.6,3,9,3000000
291,3,77,6.6,8,1,3000000
143,3,68,10.5,1,7,2368853
253,5,58,11.2,10,6,3000000
288,3,32,2.1,7,8,3000000
191,3,61,11.1,7,5,2868760
289,4,49,13.9,1,1,3000000
204,4,18,21.7,9,1,2993819
47,2,68,19.7,8,9,2244591
44,2,65,21.3,4,10,1976067
184,1,46,0.3,10,6,3000000
140,3,38,6.5,5,10,3000000
203,3,67,19.9,2,5,2422024
186,2,32,14.5,9,1,2576198
103,5,12,0.2,6,6,3000000
130,3,53,24.1,3,6,2303424
156,2,6,23.2,7,3,2417504
212,3,78,16.5,9,8,3000000
86,4,13,2.0,3,1,2440022
179,2,18,23.0,2,1,1931613
285,3,53,17.5,7,6,3000000
188,4,19,23.5,7,10,3000000
285,3,28,22.6,4,1,2638105
44,3,23,24.1,9,6,2031639
223,3,62,15.5,8,1,2738343
59,1,73,4.2,1,6,1728002
85,2,56,20.1,1,3,1434878
51,3,7,18.6,5,8,2518834
109,2,61,22.3,6,6,2172196
56,1,28,5.1,3,1,1642036
186,4,73,5.8,9,5,3000000
193,5,16,26.7,10,8,3000000
147,4,65,22.5,6,3,2358599
275,4,5,27.2,4,6,3000000
109,2,57,22.8,7,5,2102806
222,5,68,17.9,8,6,3000000
289,2,27,19.6,9,10,3000000
267,5,61,26.7,6,1,3000000
141,5,40,17.4,6,7,3000000
114,4,68,19.0,8,9,2770484
255,5,40,4.7,5,2,3000000
242,3,48,14.2,3,10,3000000
231,3,48,21.5,3,5,2795146
288,3,75,8.1,6,10,3000000
281,3,70,6.1,2,4,3000000
218,2,2,9.4,6,6,3000000
258,3,9,7.2,6,6,3000000
121,5,34,6.4,8,2,3000000
131,2,79,12.7,7,2,2174741
214,4,1,27.2,8,4,3000000
278,5,23,15.2,9,1,3000000
