size_sqft,bedrooms,age_years,garage_spaces,price
2185.0,3,46,1,410386.0
4778.0,3,11,2,827801.0
3794.0,2,61,0,598477.0
3194.0,4,79,3,551891.0
1202.0,3,87,1,164158.0
1202.0,2,82,2,264336.0
761.0,5,7,1,201026.0
4398.0,4,94,2,715144.0
3205.0,5,20,1,610598.0
3686.0,4,80,2,639636.0
593.0,3,86,0,104571.0
4865.0,3,79,0,800139.0
4246.0,5,69,1,683093.0
1456.0,4,71,1,295664.0
1318.0,1,24,3,277442.0
1325.0,1,81,1,206356.0
1869.0,3,88,3,402218.0
2861.0,4,11,1,523946.0
2444.0,5,14,1,475712.0
1811.0,2,58,2,354755.0
3253.0,3,25,2,559552.0
1128.0,3,25,1,201482.0
1815.0,5,46,2,342853.0
2149.0,4,31,2,357804.0
2552.0,4,9,1,525033.0
4033.0,3,15,3,684398.0
1399.0,3,70,3,288142.0
2814.0,2,16,2,485804.0
3166.0,1,22,1,513102.0
709.0,4,25,2,228326.0
3234.0,4,84,0,528907.0
1267.0,5,85,0,205111.0
793.0,5,6,1,210896.0
4770.0,3,13,1,787475.0
4845.0,4,78,3,815341.0
4138.0,5,6,2,790889.0
1871.0,4,8,2,401344.0
940.0,2,47,1,194475.0
3579.0,3,71,1,591244.0
2481.0,2,58,1,433307.0
1049.0,5,86,3,269806.0
2728.0,3,92,0,369339.0
655.0,2,81,3,174703.0
4592.0,3,94,2,717251.0
1665.0,3,93,1,257318.0
3481.0,3,38,2,615793.0
1903.0,2,98,1,328553.0
2840.0,3,17,3,538184.0
2960.0,3,58,3,544294.0
1332.0,4,16,1,327843.0
4863.0,3,13,1,800192.0
3988.0,4,30,2,771265.0
4728.0,3,23,3,834627.0
4527.0,3,98,1,647186.0
3191.0,4,59,2,581683.0
4648.0,3,44,2,781700.0
898.0,2,97,2,204925.0
1382.0,1,2,0,241484.0
704.0,4,36,2,193375.0
1964.0,3,42,3,356869.0
2249.0,4,39,1,396586.0
1721.0,2,89,1,243145.0
4229.0,2,54,3,694982.0
2105.0,1,86,1,330466.0
1764.0,3,38,3,415728.0
2942.0,3,14,1,516160.0
1134.0,3,3,1,202747.0
4110.0,3,92,3,703821.0
835.0,5,85,1,218721.0
4941.0,2,24,1,765855.0
3975.0,3,12,1,656245.0
1394.0,4,81,2,279074.0
525.0,3,32,1,109180.0
4170.0,3,15,1,707385.0
3681.0,4,41,3,663000.0
3781.0,5,65,1,647166.0
3971.0,2,54,2,621983.0
833.0,5,98,1,162856.0
2113.0,3,41,2,413136.0
1021.0,2,33,0,155527.0
4384.0,3,29,3,814904.0
3305.0,5,12,1,577737.0
1989.0,3,12,1,369097.0
786.0,2,17,0,167380.0
1899.0,3,31,1,296862.0
1963.0,2,95,1,249174.0
3783.0,1,98,1,512714.0
3369.0,2,38,2,604229.0
4492.0,2,45,1,689813.0
2625.0,2,28,1,511491.0
1038.0,2,61,2,188299.0
3710.0,3,92,2,610977.0
3924.0,2,61,1,659293.0
3026.0,2,56,1,541045.0
3969.0,4,15,0,709748.0
2722.0,3,55,2,512063.0
2852.0,3,9,2,549067.0
2424.0,2,29,1,421866.0
614.0,2,24,2,183509.0
