pclass,sex,age,sibsp,parch,fare,embarked,survived
2,female,60.2,1,1,10.88,S,1
3,female,21.5,0,0,50.08,S,1
3,male,40.4,0,0,10.44,Q,0
3,female,34.2,0,1,17.74,Q,0
1,male,48.2,0,0,38.95,S,0
1,male,51.9,2,1,35.42,S,0
1,female,30.4,1,1,131.15,C,1
3,male,19.5,1,0,7.65,C,0
3,male,36.4,0,1,32.57,Q,0
3,male,20.5,0,0,28.22,C,0
1,male,58.2,1,0,73.99,S,1
3,male,31.9,0,1,5.1,S,0
3,male,24.9,0,0,41.81,S,0
1,male,32.6,3,0,25.2,S,1
1,female,11.1,0,0,9.63,S,1
1,female,16.4,0,0,19.3,S,1
2,male,46.8,1,0,12.18,S,1
3,male,20.8,0,1,25.98,C,0
2,male,15.3,1,0,65.95,S,1
2,male,37.5,1,0,25.27,S,1
3,male,46.6,1,0,29.97,S,0
1,male,40.1,0,1,21.94,S,1
2,male,43.9,0,0,1.58,C,0
2,male,19.4,0,0,7.95,S,0
3,male,10.1,1,0,20.32,Q,0
3,male,51.0,0,0,11.14,S,0
1,female,25.5,0,0,6.02,S,1
3,female,26.5,0,2,21.04,S,0
3,male,48.6,0,1,11.69,S,0
1,female,37.8,2,0,8.96,C,1
3,male,36.4,1,0,18.71,S,0
1,female,60.3,2,0,4.29,C,0
1,female,21.0,1,0,78.83,S,1
3,male,43.0,1,0,60.68,C,1
3,male,30.8,0,0,36.89,S,0
3,male,33.8,0,0,3.37,C,0
2,male,51.4,2,0,44.87,S,0
1,male,37.1,1,1,49.5,S,0
3,male,37.5,1,0,43.8,S,0
2,male,45.0,0,0,3.63,Q,0
1,female,24.9,0,0,30.98,S,1
3,female,18.3,1,1,53.93,S,0
1,male,15.4,0,0,25.84,C,1
3,male,2.5,0,1,31.19,S,0
2,male,58.8,1,0,18.39,S,0
3,male,14.6,2,0,22.57,S,0
2,female,26.9,0,1,1.05,S,1
3,male,26.1,1,0,30.56,Q,0
3,male,34.3,0,0,2.55,C,0
1,male,41.4,1,0,17.13,S,0
3,male,42.0,0,0,10.39,Q,0
3,female,21.8,2,0,23.65,S,0
3,female,27.7,1,0,4.3,S,1
3,male,34.0,0,2,35.29,S,0
3,male,26.5,0,1,47.54,S,0
3,male,52.5,1,0,5.35,S,0
1,female,36.9,0,0,3.3,Q,1
1,female,40.3,0,1,4.72,C,1
1,male,39.3,1,0,62.9,S,1
2,male,46.4,1,1,22.54,S,1
2,female,32.5,1,2,18.89,C,0
2,male,11.8,2,1,3.39,Q,0
3,female,35.6,1,0,31.46,C,0
2,male,20.9,0,0,60.75,S,1
2,male,22.6,0,0,52.84,C,0
3,male,38.2,0,1,29.51,S,0
1,male,47.3,0,0,2.35,S,1
3,male,30.3,1,2,3.58,S,0
1,female,34.3,1,1,1.52,S,1
3,male,53.8,0,1,8.93,S,0
3,male,33.4,1,0,4.37,S,0
1,male,66.4,0,0,9.04,S,1
1,male,37.9,1,0,14.59,C,1
3,male,5.3,0,0,85.93,S,1
3,male,40.5,0,0,28.28,S,0
3,female,35.3,1,0,54.05,S,1
3,male,48.1,1,1,37.17,Q,0
1,male,39.4,0,0,3.58,S,1
2,male,28.1,0,0,39.95,S,0
1,female,12.9,1,0,9.65,S,1
3,female,27.1,0,2,30.58,C,1
3,female,18.1,0,0,12.51,Q,1
2,male,21.9,0,1,181.89,S,1
1,male,38.2,1,1,9.18,S,0
2,male,53.4,0,1,9.82,C,0
2,male,35.5,0,0,80.07,S,0
3,male,13.3,1,1,0.75,S,0
3,male,36.2,0,0,35.79,S,0
3,male,46.8,1,0,38.77,S,0
3,male,21.5,0,0,54.31,S,1
1,female,28.1,0,0,110.0,S,1
3,male,30.2,0,0,111.4,S,0
3,male,19.0,0,0,2.03,Q,0
3,female,39.1,0,0,51.75,S,1
3,male,28.3,0,1,31.18,C,0
3,female,35.9,0,0,31.27,S,0
3,male,17.6,0,0,4.12,S,0
2,male,23.9,2,0,31.51,S,1
1,female,40.1,0,0,121.34,Q,1
1,female,24.8,0,0,72.85,C,1
1,female,54.2,1,0,17.35,S,1
3,male,24.4,0,0,1.22,C,0
2,male,33.1,0,0,13.5,S,1
3,male,43.1,1,0,52.53,Q,0
3,male,10.1,0,0,36.27,S,1
2,female,5.3,0,0,18.45,Q,0
2,male,8.6,1,0,1.7,S,0
3,female,47.7,1,0,16.7,S,1
1,male,22.3,1,1,18.99,S,0
1,male,65.8,0,0,79.17,S,0
2,male,22.1,0,0,30.74,S,1
1,female,32.6,2,0,11.2,S,1
3,female,51.6,0,0,22.35,S,0
3,female,58.1,3,0,2.05,S,0
3,female,58.9,0,1,107.88,S,1
3,female,46.9,1,1,13.39,S,0
3,female,44.3,0,0,19.5,Q,1
1,male,38.3,0,0,13.17,S,0
3,male,40.9,0,0,34.42,S,0
3,male,22.3,0,0,32.56,S,0
3,female,18.5,0,0,37.69,S,1
3,female,30.0,1,0,9.37,S,0
2,male,27.6,1,2,11.38,S,0
1,female,23.7,2,0,4.01,S,1
1,female,39.7,0,0,31.97,Q,1
2,male,43.4,0,0,1.22,S,1
3,male,31.2,0,0,27.32,S,0
3,female,50.7,2,0,61.14,S,0
1,male,14.0,0,0,66.45,S,1
3,female,27.3,0,0,17.88,C,0
2,male,20.0,1,2,18.45,S,0
1,female,3.9,0,0,2.4,S,1
1,female,28.8,1,0,33.33,S,1
2,female,28.3,0,0,51.65,S,1
3,male,51.2,1,0,8.42,S,0
2,female,38.8,0,0,16.41,C,1
3,female,15.7,2,1,54.76,C,0
3,male,56.0,0,0,62.9,Q,0
2,female,47.1,0,0,8.36,C,1
3,male,38.1,0,0,23.99,S,0
3,male,26.8,0,0,6.41,S,1
2,male,16.6,0,0,3.22,C,1
3,male,24.8,0,0,72.61,C,0
2,male,45.2,1,0,51.53,C,1
2,female,56.4,1,1,42.82,S,0
1,male,51.6,3,1,1.5,S,0
3,female,23.2,1,0,55.68,C,1
3,male,14.3,0,0,17.29,C,0
1,male,32.0,1,0,12.57,Q,1
2,male,5.2,1,0,23.72,S,0
3,female,34.5,0,1,2.87,S,0
1,male,27.9,0,0,42.4,S,1
1,male,23.5,1,0,26.2,C,0
3,female,7.7,0,1,6.2,S,1
3,male,37.2,0,0,6.26,S,0
2,male,22.5,0,0,6.11,Q,0
3,male,13.6,1,2,1.76,S,0
3,female,0.4,1,2,26.59,C,1
1,male,29.6,1,0,55.04,S,1
3,female,54.8,1,0,0.53,C,1
2,male,53.3,0,1,1.51,S,1
3,female,23.6,2,1,25.51,C,1
3,female,21.6,1,1,51.36,Q,1
3,female,36.6,0,0,11.87,S,0
1,male,16.0,0,1,12.91,S,1
3,female,34.2,0,1,27.22,S,1
2,male,40.7,0,1,9.61,S,0
1,male,47.2,0,0,0.81,C,0
1,male,28.6,0,0,39.87,S,0
3,female,27.1,1,0,29.48,S,1
3,female,17.7,1,0,26.08,S,0
1,female,18.4,1,1,40.61,C,0
3,male,26.8,0,1,33.74,Q,0
1,male,35.1,0,0,6.92,S,0
3,female,42.8,0,0,13.04,S,1
1,male,18.8,0,4,4.04,S,1
3,male,50.9,1,0,4.17,S,0
2,male,26.2,1,0,33.83,S,0
3,male,29.7,0,0,58.68,S,0
1,male,19.5,0,0,98.69,S,0
2,male,0.4,0,0,29.69,S,0
1,male,42.4,0,0,6.1,S,1
3,male,40.3,0,0,3.35,S,0
3,female,26.1,0,0,50.28,S,1
2,male,30.9,0,0,25.94,C,0
3,male,37.2,0,0,28.89,S,0
3,female,8.1,2,0,45.62,S,1
3,male,22.6,2,0,36.45,S,0
3,female,41.1,0,1,53.96,C,0
2,female,12.4,0,0,1.74,Q,1
1,male,34.1,2,1,41.29,S,1
3,male,11.0,0,0,57.08,S,1
